call_id,function_id,function_name,value_id,formal_parameter_position,actual_argument_position,argument_type,expression_type,value_type,default,dot_dot_dot,preforce,direct_force,direct_lookup_count,direct_metaprogram_count,indirect_force,indirect_lookup_count,indirect_metaprogram_count,S3_dispatch,S4_dispatch,forcing_actual_argument_position,non_local_return,execution_time,expression
680,TY1fycIl7NN9h006kMV+zg==,(base::exists),499,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
680,TY1fycIl7NN9h006kMV+zg==,(base::exists),500,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
680,TY1fycIl7NN9h006kMV+zg==,(base::exists),501,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
680,TY1fycIl7NN9h006kMV+zg==,(base::exists),502,3,3,Missing,Unassigned,Unassigned,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
680,TY1fycIl7NN9h006kMV+zg==,(base::exists),503,4,4,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
680,TY1fycIl7NN9h006kMV+zg==,(base::exists),504,5,5,Promise,Logical,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
688,3mZCf0qGYxelDfwis4g3Mw==,(base::new.env),505,0,0,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
688,3mZCf0qGYxelDfwis4g3Mw==,(base::new.env),506,1,1,Promise,Function Call,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
688,3mZCf0qGYxelDfwis4g3Mw==,(base::new.env),507,2,2,Promise,Integer,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
694,Jcsj41oEBChfS#8qdJEASA==,(base::parent.frame),512,0,0,Promise,Double,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
691,zU2zBIO6UWH#zA6LsJRrFw==,(base::delayedAssign),508,0,0,Promise,Character,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
691,zU2zBIO6UWH#zA6LsJRrFw==,(base::delayedAssign),509,1,1,Promise,Function Call,Unbound,0,0,0,0,0,1,0,0,0,0,0,-1,0,0.000000,
691,zU2zBIO6UWH#zA6LsJRrFw==,(base::delayedAssign),510,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
691,zU2zBIO6UWH#zA6LsJRrFw==,(base::delayedAssign),511,3,3,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
502,q5qIgPLwdn6BqOjy28bFAQ==,(compiler::findCenvVar),341,0,0,Promise,Symbol,Unbound,0,0,0,0,13,0,0,0,0,0,0,-1,0,0.000000,
502,q5qIgPLwdn6BqOjy28bFAQ==,(compiler::findCenvVar),342,1,1,Promise,Function Call,Unbound,0,0,0,0,3,0,0,0,0,0,0,-1,0,0.000000,
716,aK5nwQtFXi5L9b#BPqOm9g==,(base::match),517,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
716,aK5nwQtFXi5L9b#BPqOm9g==,(base::match),518,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
716,aK5nwQtFXi5L9b#BPqOm9g==,(base::match),519,2,2,Promise,Integer,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
716,aK5nwQtFXi5L9b#BPqOm9g==,(base::match),520,3,3,Promise,Null,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
715,q0n+#PaBrDIXfT3j+RIDAg==,(base::%in%),515,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
715,q0n+#PaBrDIXfT3j+RIDAg==,(base::%in%),516,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
487,ycUnp2uwU6TbUQRfPQK5Fw==,(compiler::getInlineInfo),329,0,0,Promise,Symbol,Unbound,0,0,0,0,2,0,0,0,0,0,0,-1,0,0.000000,
487,ycUnp2uwU6TbUQRfPQK5Fw==,(compiler::getInlineInfo),330,1,1,Promise,Symbol,Unbound,0,0,0,0,1,0,0,0,0,0,0,-1,0,0.000000,
